"german","korean","exam_point","teil","passage","order","type"
"das Skigebiet","스키장, 스키 지역","Gebiet = 지역","Teil 2","Mit der U-Bahn ins Skigebiet","1","word"
"die Berglandschaft","산악 풍경, 산악 지대","Berg + Landschaft","Teil 2","Mit der U-Bahn ins Skigebiet","2","word"
"die Kassen","금고, 수입","Geld in die Kassen bringen = 돈을 벌어다 주다","Teil 2","Mit der U-Bahn ins Skigebiet","3","word"
"das Wintersportgebiet","겨울 스포츠 지역","스키 관광지","Teil 2","Mit der U-Bahn ins Skigebiet","4","word"
"verursachen","야기하다, 초래하다","Probleme verursachen","Teil 2","Mit der U-Bahn ins Skigebiet","5","word"
"schützen","보호하다","Natur schützen","Teil 2","Mit der U-Bahn ins Skigebiet","6","word"
"die Verkehrsbelastung","교통 부담, 교통 혼잡","Verkehr + Belastung","Teil 2","Mit der U-Bahn ins Skigebiet","7","word"
"die Bewohner","주민들","wohnen = 살다","Teil 2","Mit der U-Bahn ins Skigebiet","8","word"
"verringern","줄이다, 감소시키다","Belastung verringern","Teil 2","Mit der U-Bahn ins Skigebiet","9","word"
"die Wintersportregion","겨울 스포츠 지역","Region = 지역","Teil 2","Mit der U-Bahn ins Skigebiet","10","word"
"umweltfreundlich","친환경적인","Umwelt = 환경","Teil 2","Mit der U-Bahn ins Skigebiet","11","word"
"entwickeln","개발하다","Konzepte entwickeln","Teil 2","Mit der U-Bahn ins Skigebiet","12","word"
"abstellen","주차하다, 세워두다","Auto abstellen","Teil 2","Mit der U-Bahn ins Skigebiet","13","word"
"unter der Erde","지하에","Erde = 땅","Teil 2","Mit der U-Bahn ins Skigebiet","14","word"
"die Talstation","산 아래 역, 하부 승강장","Tal = 아래 지역/계곡","Teil 2","Mit der U-Bahn ins Skigebiet","15","word"
"knapp","거의, 약","knapp 1500 Meter = 약 1500m","Teil 2","Mit der U-Bahn ins Skigebiet","16","word"
"die Strecke","구간, 거리","eine lange Strecke","Teil 2","Mit der U-Bahn ins Skigebiet","17","word"
"zudem","게다가","동의어: außerdem","Teil 2","Mit der U-Bahn ins Skigebiet","18","word"
"kostenlos","무료의","kosten = 비용이 들다","Teil 2","Mit der U-Bahn ins Skigebiet","19","word"
"höchstgelegen","가장 높은 곳에 위치한","hoch + gelegen","Teil 2","Mit der U-Bahn ins Skigebiet","20","word"
"die Hochsaison","성수기","반대: Nebensaison","Teil 2","Mit der U-Bahn ins Skigebiet","21","word"
"zählen","세다, 집계하다","Fahrgäste zählen","Teil 2","Mit der U-Bahn ins Skigebiet","22","word"
"auf Erfolgskurs","성공 가도를 달리는","Erfolg = 성공, Kurs = 방향/노선","Teil 2","Kino in der Schweiz","23","word"
"der Verband","협회, 단체","Verband für Kino","Teil 2","Kino in der Schweiz","24","word"
"der Filmverleih","영화 배급","verleihen = 빌려주다/배급하다","Teil 2","Kino in der Schweiz","25","word"
"insgesamt","전체적으로, 총","통계 지문 핵심","Teil 2","Kino in der Schweiz","26","word"
"verglichen mit","…와 비교해서","동의어: im Vergleich zu","Teil 2","Kino in der Schweiz","27","word"
"die Steigerung","증가","steigen = 증가하다","Teil 2","Kino in der Schweiz","28","word"
"außergewöhnlich","특별히, 이례적으로","동의어: ungewöhnlich","Teil 2","Kino in der Schweiz","29","word"
"der Erfolg","성공","großen Erfolg haben","Teil 2","Kino in der Schweiz","30","word"
"im vorigen Jahr","작년에","vorig = 이전의","Teil 2","Kino in der Schweiz","31","word"
"schaffen","해내다, 달성하다","in die Top 20 schaffen","Teil 2","Kino in der Schweiz","32","word"
"laufen","상영되다","Der Film lief im Kino","Teil 2","Kino in der Schweiz","33","word"
"ziemlich","꽤, 상당히","ziemlich gut","Teil 2","Kino in der Schweiz","34","word"
"zugenommen","증가했다","zunehmen = 증가하다","Teil 2","Kino in der Schweiz","35","word"
"aktuell","현재의, 현재","aktuell die Möglichkeit haben","Teil 2","Kino in der Schweiz","36","word"
"gestiegen","증가한","steigen의 과거분사","Teil 2","Kino in der Schweiz","37","word"
"der Beweis","증거","den Beweis liefern","Teil 2","Kino in der Schweiz","38","word"
