german,korean,tags,lang
"der Abend","저녁","noun star3","de-DE"
"abfahren","출발하다","other star3","de-DE"
"die Abfahrt","출발","noun star3","de-DE"
"alt","늙은","other star3","de-DE"
"das Amt","공직, 관직","noun star3","de-DE"
"anbieten","제안하다","other star3","de-DE"
"ander","다른","other star3","de-DE"
"anders","다른 방향으로, 달리","other star3","de-DE"
"anfangen","시작하다, 착수하다","other star3","de-DE"
"angenehm","쾌적한, 유쾌한","other star3","de-DE"
"der Angestellte","종업원, 월급쟁이","noun star3","de-DE"
"die Angst","공포, 두려움","noun star3","de-DE"
"ankommen","도착하다","other star3","de-DE"
"die Ankunft","도착","noun star3","de-DE"
"anrufen","전화걸다, 부르다","other star3","de-DE"
"antworten","대답하다","other star3","de-DE"
"anziehen","입히다","other star3","de-DE"
"der Anzug","신사복","noun star3","de-DE"
"der Apfel","사과","noun star3","de-DE"
"die Apotheke","약국","noun star3","de-DE"
"der Apparat","장치, 기구","noun star3","de-DE"
"ärgerlich","화난","other star3","de-DE"
"ärgern","화나게 하다","other star3","de-DE"
"arm","불쌍한, 가난한","other star3","de-DE"
"der Arm","팔","noun star3","de-DE"
"der Arzt","의사","noun star3","de-DE"
"die Aufgabe","과제, 임무","noun star3","de-DE"
"aufhören","그만두다","other star3","de-DE"
"aufpassen","주의하다, 돌보다","other star3","de-DE"
"aufräumen","치우다, 청소하다","other star3","de-DE"
"aufstehen","열려있다, 일어서다","other star3","de-DE"
"das Auge","눈","noun star3","de-DE"
"die Auskunft","알림, 안내","noun star3","de-DE"
"das Ausland","외국","noun star3","de-DE"
"aussehen","~처럼 보이다","other star3","de-DE"
"der Ausweis","신분증명서","noun star3","de-DE"
"ausziehen","펼치다, 뽑아내다","other star3","de-DE"
"das Cafe","커피숍","noun star3","de-DE"
"der Chef","우두머리, 장","noun star3","de-DE"
"die Dame","귀부인, 숙녀","noun star3","de-DE"
"der Dank","감사","noun star3","de-DE"
"danken","감사하다","other star3","de-DE"
"dauern","지속되다","other star3","de-DE"
"denken","생각하다","other star3","de-DE"
"deshalb","그 때문에","other star3","de-DE"
"der Dezember","12월","noun star3","de-DE"
"dick","두꺼운, 부푼","other star3","de-DE"
"der Dienstag","화요일","noun star3","de-DE"
"der Donnerstag","목요일","noun star3","de-DE"
"die Dose","깡통","noun star3","de-DE"
"drüben","저쪽에서","other star3","de-DE"
"dumm","어리석은","other star3","de-DE"
"dunkel","어두운","other star3","de-DE"
"dünn","얇은, 가는, 여윈","other star3","de-DE"
"der Durst","목마름, 갈증","noun star3","de-DE"
"duschen","샤워를 하다","other star3","de-DE"
"eben","평평한","other star3","de-DE"
"leben","생존하다","other star3","de-DE"
"die Ebene","평야, 평지","noun star3","de-DE"
"die Ecke","모퉁이","noun star3","de-DE"
"egal","아무렇게나 해도 좋은","other star3","de-DE"
"das Ei","알, 달걀","noun star3","de-DE"
"einfach","단순한, 이해하기 쉬운","other star3","de-DE"
"einig","몇몇의","other star3","de-DE"
"einkaufen","구입하다","other star3","de-DE"
"einladen","초청하다, 초대하다","other star3","de-DE"
"einverstanden","동의된, 합의된","other star3","de-DE"
"das Eis","얼음","noun star3","de-DE"
"Eltern","양친, 부모","other star3","de-DE"
"das Ende","끝","noun star3","de-DE"
"endlich","마침내, 드디어","other star3","de-DE"
"eng","좁은, 비좁은","other star3","de-DE"
"entlang","~따라","other star3","de-DE"
"entschuldigen","용서하다, 변호하다","other star3","de-DE"
"das Erdgeschoss","1층","noun star3","de-DE"
"erholen","회복되다, 휴양하다","other star3","de-DE"
"erkälten","감기들다(sich)","other star3","de-DE"
"erst","맨처음, 최초의","other star3","de-DE"
"erwachsen","자라다, 생기다","other star3","de-DE"
"erzählen","말하다, 묘사하다","other star3","de-DE"
"essen","먹다","other star3","de-DE"
"das Essen","식사, 음식","noun star3","de-DE"
"etwa","대략, 혹시, 어쩌다가","other star3","de-DE"
"etwas","어떤것, 무엇, 조금","other star3","de-DE"
"die Fabel","우화","noun star3","de-DE"
"das Fach","칸막이","noun star3","de-DE"
"fahren","향하다, 가다, 운전하다","other star3","de-DE"
"das Fahrrad","자전거","noun star3","de-DE"
"die Fahrt","여행, 드라이브","noun star3","de-DE"
"fallen","넘어지다, 쓰러지다","other star3","de-DE"
"falsch","거짓의, 틀린","other star3","de-DE"
"die Familie","가족, 가정","noun star3","de-DE"
"die Farbe","색, 색채","noun star3","de-DE"
"fast","거의, 대략","other star3","de-DE"
"faul","썩은, 부패한","other star3","de-DE"
"fehlen","잘못하다, 실패하다","other star3","de-DE"
"der Fehler","오류, 결점","noun star3","de-DE"
"feiern","축하하다","other star3","de-DE"
"das Fenster","창, 창문","noun star3","de-DE"
"Ferien","휴가","other star3","de-DE"
"fernsehen","TV보다","other star3","de-DE"
"fertig","준비된, 숙련된, 끝난","other star3","de-DE"
"das Fest","축제, 잔치","noun star3","de-DE"
"fett","살찐, 뚱뚱한","other star3","de-DE"
"das Feuer","불, 화재","noun star3","de-DE"
"das Fieber","열, 열병","noun star3","de-DE"
"finden","발견하다","other star3","de-DE"
"der Finger","손가락","noun star3","de-DE"
"die Firma","회사","noun star3","de-DE"
"der Fisch","물고기","noun star3","de-DE"
"die Flasche","병","noun star3","de-DE"
"das Fleisch","살","noun star3","de-DE"
"fleißig","부지런한, 근면한","other star3","de-DE"
"fliegen","날다, 비행기로 가다","other star3","de-DE"
"fließen","흐르다","other star3","de-DE"
"der Flug","비행","noun star3","de-DE"
"der Fluss","강, 하천","noun star3","de-DE"
"fragen","묻다, 질문하다","other star3","de-DE"
"die Frau","여성, 여자","noun star3","de-DE"
"frei","자유로운","other star3","de-DE"
"der Freitag","금요일","noun star3","de-DE"
"die Freizeit","휴가, 여가","noun star3","de-DE"
"fremd","외국의, 낯선","other star3","de-DE"
"freuen","기뻐하다","other star3","de-DE"
"der Freund","친구","noun star3","de-DE"
"freundlich","친절한","other star3","de-DE"
"frisch","시원한, 활기찬","other star3","de-DE"
"froh","기뻐하는, 즐거운","other star3","de-DE"
"früh","이른, 초기의","other star3","de-DE"
"der Frühling","봄","noun star3","de-DE"
"das Frühstück","조반","noun star3","de-DE"
"fürchten","두려워하다","other star3","de-DE"
"der Fuß","발, 다리","noun star3","de-DE"
"die Gabel","포크","noun star3","de-DE"
"ganz","온전한, 전체의","other star3","de-DE"
"der Garten","뜰, 정원","noun star3","de-DE"
"der Gast","손님","noun star3","de-DE"
"geben","주다","other star3","de-DE"
"geboren","타고난","other star3","de-DE"
"die Geburt","분만, 출산","noun star3","de-DE"
"gefährlich","위험한","other star3","de-DE"
"gefallen","맘에 들다","other star3","de-DE"
"gegenüber","맞은 편에","other star3","de-DE"
"gehören","~의 소유이다","other star3","de-DE"
"das Geld","금전, 지폐","noun star3","de-DE"
"das Gemüse","야채","noun star3","de-DE"
"genau","면밀한, 엄격한","other star3","de-DE"
"genug","충분한, 넉넉한","other star3","de-DE"
"das Gepäck","수하물, 배낭","noun star3","de-DE"
"geradeaus","똑바로","other star3","de-DE"
"das Geschäft","용무, 일, 영업, 장사","noun star3","de-DE"
"das Geschenk","선물","noun star3","de-DE"
"das Geschirr","그릇, 마구","noun star3","de-DE"
"das Geschwister","형제, 자매","noun star3","de-DE"
"das Gesicht","얼굴, 용모","noun star3","de-DE"
"gestern","어제","other star3","de-DE"
"gesund","건강한","other star3","de-DE"
"das Getränk","마실 것, 음료","noun star3","de-DE"
"gewinnen","이기다, 얻다","other star3","de-DE"
"die Gitarre","기타","noun star3","de-DE"
"das Glas","유리","noun star3","de-DE"
"glauben","믿다, 생각하다","other star3","de-DE"
"gleich","동일한, 곧","other star3","de-DE"
"das Gleis","궤도, 레일","noun star3","de-DE"
"das Glück","행운, 요행","noun star3","de-DE"
"glücklich","행복한, 행운의","other star3","de-DE"
"gratulieren","축하하다","other star3","de-DE"
"grau","회색의","other star3","de-DE"
"groß","큰, 많은, 위대한","other star3","de-DE"
"die Großmutter","조모","noun star3","de-DE"
"der Großvater","조부","noun star3","de-DE"
"grün","녹색의, 초록의","other star3","de-DE"
"grüßen","인사하다","other star3","de-DE"
"gut","좋은, 선량한","other star3","de-DE"
"das Haar","털, 머리털","noun star3","de-DE"
"der Hafen","항구, 항만","noun star3","de-DE"
"das Hähnchen","수평아리","noun star3","de-DE"
"halb","절반의","other star3","de-DE"
"der Hals","목, 목덜미","noun star3","de-DE"
"halten","붙잡다, 유지하다, 행하다","other star3","de-DE"
"die Haltestelle","정류장","noun star3","de-DE"
"die Hand","손","noun star3","de-DE"
"hängen","걸려있다, 정체하다","other star3","de-DE"
"hart","단단한, 굳은","other star3","de-DE"
"hässlich","추한, 못생긴","other star3","de-DE"
"häufig","빈번한, 잦은","other star3","de-DE"
"der Hauptbahnhof","중앙역","noun star3","de-DE"
"das Haus","집","noun star3","de-DE"
"das Heft","공책","noun star3","de-DE"
"heiraten","결혼하다","other star3","de-DE"
"heiß","뜨거운, 더운","other star3","de-DE"
"heißen","부르다, 의미하다","other star3","de-DE"
"die Heizung","난방, 난방장치","noun star3","de-DE"
"helfen","돕다, 유용하다","other star3","de-DE"
"hell","맑은, 밝은","other star3","de-DE"
"das Hemd","셔츠, 내의","noun star3","de-DE"
"der Herbst","가을, 수확","noun star3","de-DE"
"der Herr","님, 신사","noun star3","de-DE"
"herrlich","훌륭한","other star3","de-DE"
"herzlich","충심의","other star3","de-DE"
"heute","오늘","other star3","de-DE"
"hinten","뒤에, 배후에","other star3","de-DE"
"hoch","높은, 상층의, 아주","other star3","de-DE"
"hoffen","바라다, 기대하다","other star3","de-DE"
"holen","가져오다, 꺼내다","other star3","de-DE"
"das Holz","재목, 목재, 장작","noun star3","de-DE"
"hören","듣다","other star3","de-DE"
"die Hose","바지","noun star3","de-DE"
"hübsch","예쁜, 귀여운","other star3","de-DE"
"der Hund","개","noun star3","de-DE"
"die Hundert","백","noun star3","de-DE"
"der Hunger","배고픔, 공복","noun star3","de-DE"
"der Hut","모자, 감독, 보호","noun star3","de-DE"
"die Idee","관념, 생각","noun star3","de-DE"
"immer","늘, 항상","other star3","de-DE"
"die Insel","섬, 도서","noun star3","de-DE"
"das Instrument","도구, 기구, 악기","noun star3","de-DE"
"interessant","재밌는","other star3","de-DE"
"interessieren","흥미를 일으키다","other star3","de-DE"
"irgend","도대체, 어느","other star3","de-DE"
"die Jacke","윗옷, 재킷","noun star3","de-DE"
"das Jahr","일년","noun star3","de-DE"
"die Jahreszeit","계절","noun star3","de-DE"
"je","언제나, 언젠가, 일찍이","other star3","de-DE"
"jemand","어떤사람, 누군가","other star3","de-DE"
"jung","젊은","other star3","de-DE"
"der Junge","소년, 젊은이","noun star3","de-DE"
"der Kaffee","커피","noun star3","de-DE"
"kalt","추운, 냉정한","other star3","de-DE"
"kaputt","망가진, 고장난","other star3","de-DE"
"die Karte","카드","noun star3","de-DE"
"die Kartoffel","감자","noun star3","de-DE"
"der Käse","치즈","noun star3","de-DE"
"die Kasse","금고, 현금출납소","noun star3","de-DE"
"die Katze","(암)고양이","noun star3","de-DE"
"kaufen","사다, 구입하다","other star3","de-DE"
"das Kaufhaus","백화점","noun star3","de-DE"
"kaum","거의~않다","other star3","de-DE"
"kennen","알다","other star3","de-DE"
"kennenlernen","알게 되다","other star3","de-DE"
"das Kind","아이","noun star3","de-DE"
"das Kino","영화관","noun star3","de-DE"
"die Kirche","교회","noun star3","de-DE"
"klar","밝은, 명백한, 확실한","other star3","de-DE"
"die Klasse","학급, 계급","noun star3","de-DE"
"das Klavier","피아노","noun star3","de-DE"
"das Kleid","원피스","noun star3","de-DE"
"die Kleidung","의복, 옷","noun star3","de-DE"
"klein","작은","other star3","de-DE"
"klingeln","벨 누르다","other star3","de-DE"
"klopfen","두드리다","other star3","de-DE"
"klug","영리한","other star3","de-DE"
"kochen","끓이다, 삶다, 찌다","other star3","de-DE"
"der Koffer","트렁크, 여행용가방","noun star3","de-DE"
